stop_name,zone_id,stop_id,stop_desc,stop_lat,stop_lon
Muneshwara Temple,33978,33978,Muneshwara Temple (Towards Chandapura),12.72467,77.75693
Muneshwara Temple,33979,33979,Muneshwara Temple (Towards Dodda Aladamara),12.93369,77.40038
Muneshwara Temple,35115,35115,Muneshwara Temple (Towards shanubhoganahalli),12.83574,77.57216
Muneshwara Temple,35228,35228,Muneshwara Temple (Towards Koli Farm Gate),12.83574,77.57207
Muni Nagara,22312,22312,Muni Nagara (Towards Gullahatti Kaval),12.74811,77.53654
Muni Nagara,22313,22313,Muni Nagara (Towards Mukkodlu),12.748,77.53652
Munikondappa Layout Widia Factory,29094,29094,Munikondappa Layout Widia Factory (Towards Munikondappa Layout Widia Factory),13.05252,77.50041
Munireddy Palya J C Nagara,23791,23791,Munireddy Palya J C Nagara (Towards Shivaji Nagara),13.00676,77.59276
Munireddy Palya J C Nagara,24019,24019,Munireddy Palya J C Nagara (Towards Mekhri Circle),13.00413,77.59359
Munish Singh Hospital,22314,22314,Munish Singh Hospital (Towards Varthuru),12.97738,77.75122
Munish Singh Hospital,22315,22315,Munish Singh Hospital (Towards Hope Farm),12.97703,77.75104
Muniswamappa Layout,29096,29096,Muniswamappa Layout (Towards Marison Factory),13.04394,77.49051
Muniswamappa Layout,33980,33980,Muniswamappa Layout (Towards Thippenahalli Anjaneya Temple),13.044,77.49058
Munnekolalu,23321,23321,Munnekolalu (Towards Munekolalu),12.94854,77.70802
Munnekolalu Cross (Spice Garden),21037,21037,Munnekolalu Cross (Spice Garden) (Towards Marathahalli Bridge),12.95628,77.70928
Munnekolalu Cross (Spice Garden),21038,21038,Munnekolalu Cross (Spice Garden) (Towards Varthuru),12.9564,77.70927
Munnekolalu Junction,23320,23320,Munnekolalu Junction (Towards Munekolalu),12.95646,77.7049
Munnekolalu Junction,23322,23322,Munnekolalu Junction (Towards Marathahalli),12.9565,77.7049
Muppadaghatta,29098,29098,Muppadaghatta (Towards Mallohalli),13.24293,77.44788
Muppadaghatta,33981,33981,Muppadaghatta (Towards Kadanuru),13.24305,77.44784
Murugeshpalya,22316,22316,Murugeshpalya (Towards HAL),12.95936,77.65618
Murugeshpalya,22485,22485,Murugeshpalya (Towards Kempegowda Bus Station),12.95927,77.65611
Museum,21574,21574,Museum (Towards Corporation),12.97397,77.59585
Museum,22317,22317,Museum (Towards MG Road),12.97409,77.59569
Muslim Colony,22318,22318,Muslim Colony (Towards Venkateshapura),13.01046,77.61505
Muslim Colony,22319,22319,Muslim Colony (Towards Periyar Nagara Circle),13.01049,77.61513
Muthanallur Amanikere,29101,29101,Muthanallur Amanikere (Towards Ali Bommasandra),12.82787,77.73686
Muthanallur Amanikere,33982,33982,Muthanallur Amanikere (Towards Muttanalluru Cross),12.82786,77.73674
Muthanallur Colony,29103,29103,Muthanallur Colony (Towards MuthaNalluru),12.83622,77.7372
